problem,tfes,method,runs,best_mean,best_std,best_median,best_q1,best_q3,best_iqr,final_mean,final_std,gap_vs_no_coordination,gap_vs_validated,gap_vs_disable_fast,fusion_count,freeze_count,disable_count,fusion_validation_accept_rate,validation_accept_rate,validation_extra_fe_ratio,cc_pass_count_mean,relation_history_size_mean
E6,10000,arac-lite-v0.6-no-delta-hard-block,10,2107528242998.1328,221951412028.2796,2157649478414.1665,2028912883156.5557,2194765959544.8738,165853076388.3181,2108706481344.7734,222481955699.6406,0.004093102142970855,-0.0021384073482235613,-0.0001653702801936413,2301,1345,30554,0.14386536493257523,0.2606060606060606,0.00081,18.0,189.9
E6,10000,arac-lite-v0.6-targeted-probe,10,2107528242998.1328,221951412028.2796,2157649478414.1665,2028912883156.5557,2194765959544.8738,165853076388.3181,2108706481344.7734,222481955699.6406,0.004093102142970855,-0.0021384073482235613,-0.0001653702801936413,2301,1345,30554,0.14386536493257523,0.2606060606060606,0.00081,18.0,189.9
E6,10000,no-coordination,10,2098937079141.5376,222270783637.71317,2143604369198.127,2019084724142.4153,2195521242303.9395,176436518161.52417,2099082851086.761,222400124914.72443,0.0,-0.006206107260267907,-0.004241113113989046,0,0,0,0.0,0.0,0.0,17.0,0.0
E6,10000,validated-selective-conflict,10,2112044654807.75,224410845756.6437,2164176506188.2444,2027402329071.38,2201682710121.1772,174280381049.79736,2112470637066.7734,224105283265.78976,0.0062448635533054585,0.0,0.0019772652666054163,20048,12062,190,0.10252560392050411,0.10588235294117647,0.0016999999999999997,17.0,0.0
E6,20000,arac-lite-v0.1-disable-fast,10,565760472312.3892,40189500282.02039,563437060454.1964,534226264575.2662,588212379576.6028,53986115001.33661,565970560899.798,40243414224.2864,0.0025682852945432435,0.005032297273025685,0.0,2153,1397,61050,0.10856650813710696,0.27038197097020633,0.000515,34.0,190.0
E6,20000,arac-lite-v0.6-no-delta-hard-block,10,565308244196.6311,40825478307.35383,563437060454.1964,534226264575.2662,588212379576.6028,53986115001.33661,565628913908.9299,41087182639.256424,0.0017669045181089465,0.00422894694313411,-0.0007993278744089341,2153,1392,61055,0.10856650813710696,0.27371530430353963,0.00051,34.0,190.0
E6,20000,arac-lite-v0.6-targeted-probe,10,565308244196.6311,40825478307.35383,563437060454.1964,534226264575.2662,588212379576.6028,53986115001.33661,565628913908.9299,41087182639.256424,0.0017669045181089465,0.00422894694313411,-0.0007993278744089341,2153,1392,61055,0.10856650813710696,0.27371530430353963,0.00051,34.0,190.0
E6,20000,no-coordination,10,564311160257.952,42514040628.1438,557455075826.9725,534022273468.7713,594905337897.421,60883064428.64972,564358830292.7903,42469258793.78643,0.0,0.002457699903960699,-0.002561706102431427,0,0,0,0.0,0.0,0.0,33.0,0.0
E6,20000,validated-selective-conflict,10,562927653019.19,44419963291.530174,556022124244.2698,531195747295.9984,589068359240.5283,57872611944.52991,563526910501.547,44631456528.55249,-0.0024516744239643793,0.0,-0.005007100057062762,39388,23182,130,0.10377890074727658,0.10303030303030303,0.00165,33.0,0.0
R6,5000,arac-lite-v0.1-disable-fast,10,2076361644215.2095,937993313061.5117,2073615473190.082,1492218777245.0657,2316062101783.9233,823843324538.8577,2078475324599.2644,937843933650.803,0.003427022075750815,-0.004329618084923724,0.0,2173,1288,15159,0.10899738416082698,0.2515873015873016,0.00138,9.8,190.0
R6,5000,arac-lite-v0.6-no-delta-hard-block,10,2076396194872.4016,938082453325.8455,2073615473190.082,1492218777245.0657,2316062101783.9233,823843324538.8577,2078509875256.4565,937933117058.6874,0.0034437191011238545,-0.004313050130040838,1.6639999726636054e-05,2174,1287,15159,0.10936119930340318,0.2515873015873016,0.00138,9.8,190.0
R6,5000,arac-lite-v0.6-targeted-probe,10,2076396194872.4016,938082453325.8455,2073615473190.082,1492218777245.0657,2316062101783.9233,823843324538.8577,2078509875256.4565,937933117058.6874,0.0034437191011238545,-0.004313050130040838,1.6639999726636054e-05,2174,1287,15159,0.10936119930340318,0.2515873015873016,0.00138,9.8,190.0
R6,5000,no-coordination,10,2069270209526.4688,922096592726.0103,2070147453043.482,1495640423945.3682,2306938489909.9805,811298065964.6123,2072798882782.191,928508432567.3629,0.0,-0.007730148770190259,-0.003415317706574681,0,0,0,0.0,0.0,0.0,9.0,0.0
R6,5000,validated-selective-conflict,10,2085390589023.5757,953359818454.8239,2073251608523.6353,1502982531598.273,2316284177926.068,813301646327.7949,2087019992052.2192,953831379367.6326,0.007790369485286272,0.0,0.004348445191867735,10565,6245,290,0.10457992052304621,0.11111111111111112,0.0018,9.0,0.0
R6,10000,arac-lite-v0.1-disable-fast,10,26867943989.780308,7699023218.075654,26072881951.6355,21425105640.835148,28910280531.27851,7485174890.443363,26881840313.48626,7702406229.386007,0.00564092617725438,-0.004813675915350033,0.0,1989,1127,31084,0.04036724739785347,0.1636904761904762,0.0007000000000000001,18.0,190.0
R6,10000,arac-lite-v0.6-no-delta-hard-block,10,26867943989.780308,7699023218.075654,26072881951.6355,21425105640.835148,28910280531.27851,7485174890.443363,26881840313.48626,7702406229.386007,0.00564092617725438,-0.004813675915350033,0.0,1989,1127,31084,0.04036724739785347,0.1636904761904762,0.0007000000000000001,18.0,190.0
R6,10000,arac-lite-v0.6-targeted-probe,10,26867943989.780308,7699023218.075654,26072881951.6355,21425105640.835148,28910280531.27851,7485174890.443363,26881840313.48626,7702406229.386007,0.00564092617725438,-0.004813675915350033,0.0,1989,1127,31084,0.04036724739785347,0.1636904761904762,0.0007000000000000001,18.0,190.0
R6,10000,no-coordination,10,26717234044.872753,7658560642.767299,26057468765.89637,21048881707.876534,28956879813.58493,7907998105.708397,26719442891.524437,7657837191.363277,0.0,-0.010395959253911354,-0.0056092846168236685,0,0,0,0.0,0.0,0.0,17.0,0.0
R6,10000,validated-selective-conflict,10,26997903145.91877,7705669562.805736,26071359136.512924,21318301752.36536,29030276439.08061,7711974686.715248,27006308691.48295,7700608652.207024,0.010505170579208191,0.0,0.004836959470657461,20543,11677,80,0.09484737104941975,0.09411764705882353,0.0016999999999999997,17.0,0.0
R6,20000,arac-lite-v0.1-disable-fast,10,964973252.5813822,144151746.71073756,943650344.804659,873196541.2610431,1086296285.917174,213099744.65613103,965094276.6244099,144203419.1803468,-0.0013016408398262133,0.0028643753319890627,0.0,2167,1226,61207,0.09715422769383038,0.27301587301587305,0.000445,34.0,190.0
R6,20000,arac-lite-v0.6-no-delta-hard-block,10,964973252.5813822,144151746.71073756,943650344.804659,873196541.2610431,1086296285.917174,213099744.65613103,965094276.6244099,144203419.1803468,-0.0013016408398262133,0.0028643753319890627,0.0,2167,1224,61209,0.09715422769383038,0.27301587301587305,0.000445,34.0,190.0
R6,20000,arac-lite-v0.6-targeted-probe,10,964973252.5813822,144151746.71073756,943650344.804659,873196541.2610431,1086296285.917174,213099744.65613103,965094276.6244099,144203419.1803468,-0.0013016408398262133,0.0028643753319890627,0.0,2167,1224,61209,0.09715422769383038,0.27301587301587305,0.000445,34.0,190.0
R6,20000,no-coordination,10,966230938.2312876,141687033.6580827,934188099.4017675,883358499.7005802,1088139201.616102,204780701.91552174,966230938.2312876,141687033.6580827,0.0,0.004171445896154836,0.0013033373169059675,0,0,0,0.0,0.0,0.0,33.0,0.0
R6,20000,validated-selective-conflict,10,962217101.6513939,145612589.85645074,929973936.0029128,873365531.2247891,1100646270.66024,227280739.4354508,962846008.4832834,145480319.35918757,-0.004154117220921478,0.0,-0.0028561941200083386,40276,22424,0,0.09942393730653323,0.1,0.00165,33.0,0.0
S4,5000,arac-lite-v0.1-disable-fast,10,37512035150959.57,9886662085805.781,39903314451548.95,31502932555187.61,42926175423496.74,11423242868309.133,37636983773438.67,9883703500286.824,7.909794485751526e-05,-0.002079904333186155,0.0,1108,843,8404,0.11578110820902957,0.19464285714285712,0.0014,10.9,93.7
S4,5000,arac-lite-v0.6-no-delta-hard-block,10,37505423216016.17,9888679606427.166,39903314451548.95,31486404634071.88,42926175423496.74,11439770789424.863,37629042303559.805,9886210397107.936,-9.717769327444685e-05,-0.002255799421914502,-0.00017626169619403605,1109,841,8405,0.11642465244422806,0.2,0.00138,10.9,93.7
