problem,seed,tfes,method,coordination_mode,cc_pass_group_fes,cc_pass_count,best_error,final_error,fe_used,runtime,fusion_count,freeze_count,disable_count,fusion_validation_attempt_count,fusion_validation_accept_count,fusion_validation_accept_rate,validation_attempt_count,validation_accept_count,validation_reject_count,validation_accept_rate,validation_extra_fe_ratio,relation_history_size,status
S6,1,10000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,17,479794013299.25,479794013299.25,10000,6.505300045013428,586,331,2313,586,188,0.32081911262798635,17,6,11,0.35294117647058826,0.0017,190,ok
S6,2,10000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,17,430482672517.16815,430482672517.16815,10000,6.4177727699279785,205,143,2882,205,6,0.02926829268292683,16,5,11,0.3125,0.0016,190,ok
S6,3,10000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,17,177870608382.05673,177870608382.05673,10000,6.698504209518433,228,148,2854,228,19,0.08333333333333333,17,6,11,0.35294117647058826,0.0017,190,ok
S6,4,10000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,17,181711578546.511,181797161744.62793,10000,6.689039945602417,998,549,1683,998,287,0.2875751503006012,17,4,13,0.23529411764705882,0.0017,190,ok
S6,5,10000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,17,376272694738.1664,376307043225.3931,10000,6.630667209625244,260,169,2801,260,29,0.11153846153846154,17,5,12,0.29411764705882354,0.0017,190,ok
S6,6,10000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,17,271120340717.71005,271120340717.71005,10000,6.6777184009552,201,108,2921,201,6,0.029850746268656716,13,4,9,0.3076923076923077,0.0013,190,ok
S6,7,10000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,17,226170984149.36835,226170984149.36835,10000,6.708535194396973,243,133,2854,243,37,0.1522633744855967,17,9,8,0.5294117647058824,0.0017,190,ok
S6,8,10000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,17,290229993282.50037,290229993282.50037,10000,6.532352924346924,211,132,2887,211,9,0.04265402843601896,16,4,12,0.25,0.0016,190,ok
S6,9,10000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,17,203207287433.56506,203286244247.42764,10000,6.6811347007751465,212,111,2907,212,8,0.03773584905660377,17,5,12,0.29411764705882354,0.0017,190,ok
S6,10,10000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,17,172388706614.61124,172388706614.61124,10000,6.7524871826171875,825,459,1946,825,250,0.30303030303030304,17,6,11,0.35294117647058826,0.0017,190,ok
E6,1,10000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,17,2167994680497.7202,2167994680497.7202,10000,5.887981414794922,260,152,2818,260,43,0.16538461538461538,16,8,8,0.5,0.0016,190,ok
E6,2,10000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,17,2167134444421.4883,2167134444421.4883,10000,5.907425165176392,844,474,1912,844,291,0.3447867298578199,16,5,11,0.3125,0.0016,190,ok
E6,3,10000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,17,1897651123103.8162,1897651123103.8162,10000,5.649759292602539,449,263,2518,449,106,0.23608017817371937,17,5,12,0.29411764705882354,0.0017,190,ok
E6,4,10000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,17,2154372921871.6248,2154372921871.6248,10000,5.589325666427612,196,120,2914,196,2,0.01020408163265306,12,2,10,0.16666666666666666,0.0012,190,ok
E6,5,10000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,17,2205279624262.146,2205279624262.146,10000,5.718246221542358,251,162,2817,251,19,0.07569721115537849,15,1,14,0.06666666666666667,0.0015,189,ok
E6,6,10000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,17,2299643796903.3423,2299643796903.3423,10000,5.806586265563965,326,198,2706,326,58,0.17791411042944785,17,6,11,0.35294117647058826,0.0017,190,ok
E6,7,10000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,17,2014387173664.0444,2014387173664.0444,10000,5.843510866165161,303,179,2748,303,41,0.1353135313531353,17,4,13,0.23529411764705882,0.0017,190,ok
